Tb,H''(Tb)
0,0
0.1,0
0.2,0
0.30000000000000004,0
0.4,0
0.5,0
0.6000000000000001,0
0.7000000000000001,0
0.8,0
0.9,0
1,0
1.1,0
1.2000000000000002,0
1.3,0
1.4000000000000001,0
1.5,0
1.6,0
1.7000000000000002,0
1.8,0
1.9000000000000001,0
2,0
2.1,0
2.2,0
2.3000000000000003,0
2.4000000000000004,0
2.5,0
2.6,0
2.7,0
2.8000000000000003,0
2.9000000000000004,0
3,0
3.1,0
3.2,0
3.3000000000000003,0
3.4000000000000004,0
3.5,0
3.6,0
3.7,0
3.8000000000000003,0
3.9000000000000004,0
4,0
4.1000000000000005,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6000000000000005,0
4.7,0
4.800000000000001,0
4.9,0
5,0
5.1000000000000005,0
5.2,0
5.300000000000001,0
5.4,0
5.5,0
5.6000000000000005,0
5.673,0.006966559
5.773,0.006970866
5.872999999999999,0.006975175
5.972999999999999,0.006979486
6.072999999999999,0.0069838
6.172999999999998,0.006988115
6.272999999999998,0.006992433
6.3729999999999976,0.006996753
6.472999999999997,0.007001074
6.572999999999997,0.007005397
6.6729999999999965,0.007009722
6.772999999999996,0.007014049
6.872999999999996,0.007018377
6.972999999999995,0.007022706
7.072999999999995,0.007027037
7.172999999999995,0.00703137
7.272999999999994,0.007035703
7.372999999999994,0.007040038
7.472999999999994,0.007044374
7.572999999999993,0.007048711
7.672999999999993,0.007053049
7.772999999999993,0.007057388
7.872999999999992,0.007061727
7.972999999999992,0.007066067
8.072999999999992,0.007070408
8.172999999999991,0.00707475
8.273,0.007079092
8.373,0.007083435
8.473,0.007087777
8.573,0.007092121
8.673,0.007096464
8.772999999999989,0.007100807
8.872999999999989,0.007105151
8.972999999999988,0.007109494
9.072999999999988,0.007113838
9.172999999999988,0.007118181
9.272999999999987,0.007122524
9.372999999999987,0.007126867
9.472999999999987,0.007131209
9.572999999999986,0.007135551
9.672999999999986,0.007139893
9.772999999999985,0.007144233
9.872999999999985,0.007148573
9.972999999999985,0.007152913
10.072999999999984,0.007157251
10.172999999999984,0.007161589
10.272999999999984,0.007165925
10.372999999999983,0.007170261
10.472999999999983,0.007174595
10.572999999999983,0.007178928
10.672999999999982,0.00718326
10.772999999999982,0.00718759
10.872999999999982,0.007191919
10.972999999999981,0.007196247
11.07299999999998,0.007200573
11.17299999999998,0.007204897
11.27299999999998,0.00720922
11.37299999999998,0.00721354
11.47299999999998,0.007217859
11.572999999999979,0.007222176
11.672999999999979,0.007226491
11.772999999999978,0.007230804
11.872999999999978,0.007235114
11.972999999999978,0.007239423
12.072999999999977,0.007243729
12.172999999999977,0.007248032
12.272999999999977,0.007252333
12.372999999999976,0.007256632
12.472999999999976,0.007260928
12.572999999999976,0.007265221
12.672999999999975,0.007269511
12.772999999999975,0.007273799
12.872999999999974,0.007278083
12.972999999999974,0.007282365
13.072999999999974,0.007286643
13.172999999999973,0.007290919
13.272999999999973,0.007295191
13.372999999999973,0.00729946
13.472999999999972,0.007303725
13.572999999999972,0.007307987
13.672999999999972,0.007312245
13.772999999999971,0.0073165
13.872999999999971,0.007320751
13.97299999999997,0.007324999
14.07299999999997,0.007329242
14.17299999999997,0.007333482
14.27299999999997,0.007337717
14.37299999999997,0.007341949
14.472999999999969,0.007346176
14.572999999999968,0.0073504
14.672999999999968,0.007354619
14.772999999999968,0.007358833
14.872999999999967,0.007363044
14.972999999999967,0.007367249
15.072999999999967,0.00737145
15.172999999999966,0.007375647
15.272999999999966,0.007379838
15.372999999999966,0.007384025
15.472999999999965,0.007388207
15.572999999999965,0.007392384
15.672999999999965,0.007396556
15.772999999999964,0.007400723
15.872999999999964,0.007404885
15.972999999999963,0.007409042
16.072999999999965,0.007413193
16.172999999999963,0.007417338
16.27299999999996,0.007421479
16.372999999999962,0.007425613
16.472999999999963,0.007429743
16.57299999999996,0.007433866
16.67299999999996,0.007437984
16.77299999999996,0.007442095
16.872999999999962,0.007446201
16.97299999999996,0.007450301
17.072999999999958,0.007454395
17.17299999999996,0.007458482
17.27299999999996,0.007462564
17.37299999999996,0.007466639
17.472999999999956,0.007470707
17.572999999999958,0.00747477
17.67299999999996,0.007478825
17.772999999999957,0.007482874
17.872999999999955,0.007486917
17.972999999999956,0.007490952
18.072999999999958,0.007494981
18.172999999999956,0.007499003
18.272999999999954,0.007503018
18.372999999999955,0.007507026
18.472999999999956,0.007511027
18.572999999999954,0.00751502
18.672999999999952,0.007519007
18.772999999999954,0.007522986
18.872999999999955,0.007526957
18.972999999999953,0.007530921
19.07299999999995,0.007534878
19.172999999999952,0.007538826
19.272999999999954,0.007542768
19.37299999999995,0.007546701
19.47299999999995,0.007550626
19.57299999999995,0.007554544
19.672999999999952,0.007558453
19.77299999999995,0.007562354
19.872999999999948,0.007566247
19.97299999999995,0.007570132
20.07299999999995,0.007574009
20.17299999999995,0.007577877
20.272999999999946,0.007581737
20.372999999999948,0.007585588
20.47299999999995,0.00758943
20.572999999999947,0.007593264
20.672999999999945,0.007597089
20.772999999999946,0.007600905
20.872999999999948,0.007604713
20.972999999999946,0.007608511
21.072999999999944,0.0076123
21.172999999999945,0.00761608
21.272999999999946,0.007619851
21.372999999999944,0.007623613
21.472999999999942,0.007627365
21.572999999999944,0.007631107
21.672999999999945,0.007634841
21.772999999999946,0.007638564
21.87299999999994,0.007642278
21.972999999999942,0.007645982
22.072999999999944,0.007649677
22.172999999999945,0.007653361
22.27299999999994,0.007657035
22.37299999999994,0.0076607
22.472999999999942,0.007664354
22.572999999999944,0.007667998
