Tb,H''(Tb)
0,0
0.1,0
0.2,0
0.30000000000000004,0
0.4,0
0.5,0
0.6000000000000001,0
0.7000000000000001,0
0.8,0
0.9,0
1,0
1.1,0
1.2000000000000002,0
1.3,0
1.4000000000000001,0
1.5,0
1.6,0
1.7000000000000002,0
1.8,0
1.9000000000000001,0
2,0
2.1,0
2.2,0
2.3000000000000003,0
2.4000000000000004,0
2.5,0
2.6,0
2.7,0
2.8000000000000003,0
2.9000000000000004,0
3,0
3.1,0
3.2,0
3.3000000000000003,0
3.4000000000000004,0
3.5,0
3.6,0
3.7,0
3.8000000000000003,0
3.9000000000000004,0
4,0
4.1000000000000005,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6000000000000005,0
4.7,0
4.800000000000001,0
4.9,0
5,0
5.1000000000000005,0
5.2,0
5.300000000000001,0
5.4,0
5.5,0
5.6000000000000005,0
5.673,0.00552078
5.773,0.005537286
5.872999999999999,0.005553743
5.972999999999999,0.005570152
6.072999999999999,0.005586512
6.172999999999998,0.005602823
6.272999999999998,0.005619086
6.3729999999999976,0.0056353
6.472999999999997,0.005651466
6.572999999999997,0.005667584
6.6729999999999965,0.005683653
6.772999999999996,0.005699673
6.872999999999996,0.005715645
6.972999999999995,0.005731569
7.072999999999995,0.005747444
7.172999999999995,0.005763271
7.272999999999994,0.005779049
7.372999999999994,0.005794779
7.472999999999994,0.005810461
7.572999999999993,0.005826095
7.672999999999993,0.00584168
7.772999999999993,0.005857217
7.872999999999992,0.005872706
7.972999999999992,0.005888146
8.072999999999992,0.005903538
8.172999999999991,0.005918883
8.273,0.005934179
8.373,0.005949426
8.473,0.005964626
8.573,0.005979778
8.673,0.005994881
8.772999999999989,0.006009937
8.872999999999989,0.006024944
8.972999999999988,0.006039904
9.072999999999988,0.006054815
9.172999999999988,0.006069678
9.272999999999987,0.006084494
9.372999999999987,0.006099261
9.472999999999987,0.006113981
9.572999999999986,0.006128653
9.672999999999986,0.006143276
9.772999999999985,0.006157852
9.872999999999985,0.00617238
9.972999999999985,0.006186861
10.072999999999984,0.006201293
10.172999999999984,0.006215678
10.272999999999984,0.006230015
10.372999999999983,0.006244304
10.472999999999983,0.006258545
10.572999999999983,0.006272739
10.672999999999982,0.006286885
10.772999999999982,0.006300983
10.872999999999982,0.006315034
10.972999999999981,0.006329037
11.07299999999998,0.006342992
11.17299999999998,0.0063569
11.27299999999998,0.006370761
11.37299999999998,0.006384573
11.47299999999998,0.006398339
11.572999999999979,0.006412056
11.672999999999979,0.006425727
11.772999999999978,0.006439349
11.872999999999978,0.006452925
11.972999999999978,0.006466452
12.072999999999977,0.006479933
12.172999999999977,0.006493366
12.272999999999977,0.006506752
12.372999999999976,0.00652009
12.472999999999976,0.006533381
12.572999999999976,0.006546625
12.672999999999975,0.006559821
12.772999999999975,0.00657297
12.872999999999974,0.006586072
12.972999999999974,0.006599127
13.072999999999974,0.006612134
13.172999999999973,0.006625094
13.272999999999973,0.006638007
13.372999999999973,0.006650873
13.472999999999972,0.006663692
13.572999999999972,0.006676464
13.672999999999972,0.006689188
13.772999999999971,0.006701866
13.872999999999971,0.006714496
13.97299999999997,0.006727079
14.07299999999997,0.006739616
14.17299999999997,0.006752105
14.27299999999997,0.006764547
14.37299999999997,0.006776943
14.472999999999969,0.006789291
14.572999999999968,0.006801593
14.672999999999968,0.006813847
14.772999999999968,0.006826055
14.872999999999967,0.006838216
14.972999999999967,0.00685033
15.072999999999967,0.006862397
15.172999999999966,0.006874418
15.272999999999966,0.006886392
15.372999999999966,0.006898318
15.472999999999965,0.006910199
15.572999999999965,0.006922032
15.672999999999965,0.006933819
15.772999999999964,0.006945559
15.872999999999964,0.006957252
15.972999999999963,0.006968899
16.072999999999965,0.006980499
16.172999999999963,0.006992053
16.27299999999996,0.007003559
16.372999999999962,0.00701502
16.472999999999963,0.007026434
16.57299999999996,0.007037801
16.67299999999996,0.007049122
16.77299999999996,0.007060396
16.872999999999962,0.007071624
16.97299999999996,0.007082805
17.072999999999958,0.00709394
17.17299999999996,0.007105029
17.27299999999996,0.007116071
17.37299999999996,0.007127067
17.472999999999956,0.007138016
17.572999999999958,0.007148919
17.67299999999996,0.007159776
17.772999999999957,0.007170587
17.872999999999955,0.007181351
17.972999999999956,0.007192069
18.072999999999958,0.007202741
18.172999999999956,0.007213366
18.272999999999954,0.007223946
18.372999999999955,0.007234479
18.472999999999956,0.007244966
18.572999999999954,0.007255407
18.672999999999952,0.007265802
18.772999999999954,0.00727615
18.872999999999955,0.007286453
18.972999999999953,0.00729671
19.07299999999995,0.00730692
19.172999999999952,0.007317085
19.272999999999954,0.007327203
19.37299999999995,0.007337276
19.47299999999995,0.007347302
19.57299999999995,0.007357283
19.672999999999952,0.007367218
19.77299999999995,0.007377107
19.872999999999948,0.00738695
19.97299999999995,0.007396747
20.07299999999995,0.007406498
20.17299999999995,0.007416204
20.272999999999946,0.007425863
20.372999999999948,0.007435477
20.47299999999995,0.007445045
20.572999999999947,0.007454568
20.672999999999945,0.007464045
20.772999999999946,0.007473476
20.872999999999948,0.007482861
20.972999999999946,0.007492201
21.072999999999944,0.007501495
21.172999999999945,0.007510743
21.272999999999946,0.007519946
21.372999999999944,0.007529103
21.472999999999942,0.007538215
21.572999999999944,0.007547281
21.672999999999945,0.007556302
21.772999999999946,0.007565277
21.87299999999994,0.007574206
21.972999999999942,0.00758309
22.072999999999944,0.007591929
22.172999999999945,0.007600723
22.27299999999994,0.00760947
22.37299999999994,0.007618173
22.472999999999942,0.00762683
22.572999999999944,0.007635442
